Lens ID,Country,Publication Date,Publication Year,Title,Assignee (Applicant),Primary Assignee,Technology Category,Application Area,Abstract,URL
010-206-359-364-553,China,2023-03-24,2023,Energy storage system and management method of energy storage system,NINGDE CONTEMPORARY AMPEREX TECH CO LTD,NINGDE CONTEMPORARY AMPEREX TECH,Others,Electric Vehicles,"The invention relates to an energy storage system and a management method of the energy storage system. The energy storage system comprises a battery system, a battery management system and an energy storage converter, the battery system comprises a plurality of battery clusters, the battery management system comprises a plurality of cluster-level battery management units, the cluster-level battery management units are in communication connection, the cluster-level battery management units are connected with the battery clusters in a one-to-one correspondence mode, and the energy storage converter is connected with the battery clusters. The energy storage converter is connected with the plurality of battery clusters, and the energy storage converter is in communication connection with at least one cluster-level battery management unit. Through the energy storage system provided by the invention, the hardware cost can be saved.",https://lens.org/010-206-359-364-553
012-928-996-624-861,Japan,2023-10-16,2023,SOLID ELECTROLYTE SHEET AND SOLID-STATE BATTERY,HONDA MOTOR CO LTD,HONDA MOTOR,Battery Chemistry,General Applications,"To provide a solid electrolyte sheet with high strength that allows for a thinner sheet, and a solid-state battery provided with such a solid electrolyte sheet.SOLUTION: Provided is a solid electrolyte sheet 31 including a porous base material 33, a solid electrolyte material filling voids in the base material 33, and a binder adhering to the base material 33, the content of the binder being equal to or higher than 10% by mass when 100% by mass is taken to mean an entirety of the solid electrolyte sheet 31. A solid-state battery 1 includes a positive electrode layer 11, a negative electrode layer 21, and a solid electrolyte layer 30 located between the positive electrode layer 11 and the negative electrode layer 21, the solid electrolyte layer including the solid electrolyte sheet 31.SELECTED DRAWING: Figure 1",https://lens.org/012-928-996-624-861
181-164-683-879-522,United States,2023-10-12,2023,LITHIUM-ION COIN BATTERY HAVING A WINDING CORE AS AN ANODE LEAD AND A CATHODE LEAD AND METHOD OF MANUFACTURING THE SAME,CYNTEC CO LTD,CYNTEC,Battery Chemistry,General Applications,"A lithium-ion coin battery having a winding core as an anode lead and a cathode lead is provided in the present invention, including a winding core having a first electrode section, a second electrode section and an insulating section isolating the first electrode section and the second electrode section, an electrode winding having a first electrode sheet, a second electrode sheet and a separator isolating between the first electrode sheet and the second electrode sheet, wherein the electrode winding winds on the winding core, and the first electrode sheet is electrically coupled with the first electrode section of the winding core, the second electrode sheet is electrically coupled with the second electrode section of the winding core, and the separator is coupled with the insulating section of the winding core.",https://lens.org/181-164-683-879-522
025-203-002-894-990,European Patent Office,2023-10-04,2023,BATTERY SAFETY SYSTEM AND METHOD,ARTEMIS TECH LIMITED,ARTEMIS TECH,Thermal & Safety,General Applications,"There is provided methods and systems for improving the safety of a battery. The system is directed towards a plurality of sensors for providing sensor data, a battery management system for comparing one or more parameters associated with the sensor data to a corresponding threshold value, a first thermal regulation system, and a second thermal regulation system. The system configures the first thermal regulation system in response to the comparison, and the second thermal regulation system is configured if any of the one or more parameters exceeds the corresponding threshold value.",https://lens.org/025-203-002-894-990
025-658-951-933-905,European Patent Office,2023-09-20,2023,"METHOD FOR CHARGING TRACTION BATTERY, AND BATTERY MANAGEMENT SYSTEM",CONTEMPORARY AMPEREX TECHNOLOGY CO LTD,CONTEMPORARY AMPEREX TECHNOLOGY,Charging Technology,General Applications,"Embodiments of the present application provide a method for charging a power battery and a battery management system, which can meet users' requirements for the charging speed while ensuring the safety performance of the power battery. The method is applied to a battery management system (BMS) for the power battery, the method comprising: determining a first charging current for the power battery; determining, according to the temperature of the power battery, whether to perform thermal management of the power battery; determining, if determining to perform the thermal management of the power battery, a thermal management current according to the first charging current and charging pile power; and sending the first charging current and the thermal management current to a charging pile, wherein the first charging current is used for charging the power battery and the thermal management current is used for performing the thermal management of the power battery.",https://lens.org/025-658-951-933-905
105-907-290-753-660,United States,2023-09-28,2023,SOLID ELECTROLYTE CERAMIC AND SOLID-STATE BATTERY,MURATA MANUFACTURING CO,MURATA MANUFACTURING,Battery Chemistry,General Applications,"A solid electrolyte ceramic containing: at least lithium (Li), lanthanum (La), bismuth (Bi), and oxygen (O) and having a garnet-type crystal structure; and one or more transition metal elements selected from the group consisting of cobalt (Co), nickel (Ni), and manganese (Mn).",https://lens.org/105-907-290-753-660
138-083-870-535-115,European Patent Office,2023-10-11,2023,LITHIUM-ION BATTERY RECYCLING METHOD,NIOCYCLE TEKNOLOJI TIC SAN A S,NIOCYCLE TEKNOLOJI TIC SAN A S,Battery Chemistry,General Applications,"The present invention is related to a high-efficient and environmentally friendly recycling method of Lithium-Ion Batteries comprising disassembling the Lithium-Ion Batteries to obtain the Lithium-Ion Battery cell components, e.g. the cathode with its respective active material composition in high quantities and qualities for the further material recovery in hydrometallurgical process.",https://lens.org/138-083-870-535-115
183-053-655-966-048,European Patent Office,2023-12-06,2023,MECHANOCHEMICALLY INDUCED UNIVERSAL METHOD FOR RECYCLING LITHIUM FROM LI-ION BATTERIES,KARLSRUHER INST TECHNOLOGIE,KARLSRUHER INST TECHNOLOGIE,Thermal & Safety,General Applications,"The present invention relates to a mechanochemically induced method for recycling lithium from Li-ion batteries which can be universally applied, and which is highly efficient due to a specific heating step.",https://lens.org/183-053-655-966-048
011-730-467-779-016,China,2023-12-29,2023,Lithium battery recycling equipment and recycling method thereof,NINGBO BIYANG PLASTIC IND AND TRADE CO LTD,NINGBO BIYANG PLASTIC IND AND TRADE,Battery Recycling,Electric Vehicles,"The invention discloses lithium battery recycling equipment and a recycling method thereof. The lithium battery recycling equipment comprises a fixed base, a sliding groove is formed in the fixed base, a mounting frame is fixedly connected to the fixed base, a sliding rail is arranged on the mounting frame, the lithium battery recycling equipment further comprises a first clamping unit and a second clamping unit, and a peeling and cutting unit is arranged on the sliding rail. The invention belongs to the technical field of lithium battery processing devices, particularly relates to lithium battery recycling equipment and a recycling method thereof, and effectively solves the problems that when lithium battery recycling equipment in the current market is used, due to the fact that the thicknesses of shells of lithium batteries are inconsistent, repeated adjustment is needed during cutting, use is inconvenient, and the recycling efficiency is high. And in addition, manual control and adjustment are needed, and the trouble of manual operation is increased.",https://lens.org/011-730-467-779-016
086-948-826-751-975,United States,2023-08-08,2023,Capacitor assisted battery modules and systems,GM GLOBAL TECH OPERATIONS LLC,GM GLOBAL TECH OPERATIONS,Battery Pack & Structure,General Applications,"A capacitor-assisted battery module includes a housing, a positive terminal, a negative terminal, one or more capacitor-assisted battery cells and one or more first switches. The one or more capacitor-assisted battery cells are disposed in the housing and include one or more battery terminals and one or more capacitor terminals. The one or more battery terminals are connected to battery electrodes. The one or more capacitor terminals are connected to capacitor electrodes. At least one of the one or more battery terminals and the capacitor terminals is connected to the negative terminal. One or more first switches is configured to connect the one or more capacitor terminals to the positive terminal. An overall voltage of the capacitor assisted battery module is measured across the positive terminal and the negative terminal.",https://lens.org/086-948-826-751-975
042-203-327-050-573,China,2023-10-10,2023,"Battery energy storage system control device, method, equipment and medium",SHANGHAI SIGEYUAN INTELLIGENT TECH CO LTD,SHANGHAI SIGEYUAN INTELLIGENT TECH,Charging Technology,Electric Vehicles,"The invention provides a battery energy storage system control device, method, equipment and medium, and the device comprises an energy storage monitoring module which is used for monitoring the battery capacity of a battery energy storage system in real time, the battery energy storage system is formed by connecting a plurality of batteries in series, the battery capacity is composed of the battery sub-capacity of each battery, and the energy storage monitoring module is used for monitoring the battery capacity of the battery energy storage system; the battery sub-capacity is obtained through an analog acquisition chip configured in each battery; the energy storage control module is used for controlling each battery of the battery energy storage system by adopting a layered low-power-consumption control strategy if the battery capacity of the battery energy storage system is monitored to be lower than the preset capacitance, and controlling the working mode of the corresponding analog acquisition chip by generating a control instruction, so that the battery energy storage system is in a low-power-consumption state; when the battery energy storage system is in the low electric quantity, the layered low-power-consumption control strategy is adopted to control each battery to be in the low-power-consumption state, the battery energy storage system is prevented from being over-discharged, the service life of each battery is ensured, and the charging and discharging performance of each battery is affected.",https://lens.org/042-203-327-050-573
125-203-366-582-133,China,2023-05-09,2023,Energy storage battery and use method thereof,UNIV HARBIN SCIENCE & TECH,UNIV HARBIN SCIENCE & TECH,Battery Pack & Structure,Energy Storage Systems,"The invention provides an energy storage battery and a use method thereof, and relates to the field of energy storage battery production. The energy storage battery comprises an electric power storage box and an energy storage battery system, and the energy storage battery system is connected with an energy storage battery management module, an energy storage battery monitoring module, a power supply power conversion module, an energy storage battery protection module and an energy storage battery pack module. The energy storage battery management module, the energy storage battery monitoring module, the power supply power conversion module, the energy storage battery protection module and the energy storage battery pack module are connected with an energy storage battery application module. Through the application of the energy storage battery management module, the energy storage battery monitoring module, the power supply power conversion module, the energy storage battery protection module and the energy storage battery pack module, the operation of the battery system is optimized and controlled, the safe, reliable and stable operation of the battery system is ensured, the monitoring system can transmit signals to the energy storage battery protection module, and the energy storage battery pack module is protected. Therefore, the energy storage battery can carry out self-protection in time.",https://lens.org/125-203-366-582-133
005-795-544-436-640,China,2023-07-04,2023,Energy storage battery and energy storage system,SHENZHEN WENCHU INNOVATION TECH CO LTD,SHENZHEN WENCHU INNOVATION TECH,Battery Pack & Structure,Energy Storage Systems,"The utility model discloses an energy storage battery and an energy storage system, the energy storage battery comprises a plurality of battery cell modules which are stacked along the height direction of the battery cell modules, each battery cell module is provided with a first positioning hole, and two ends of a positioning pin are respectively matched in two first positioning holes of two adjacent battery cell modules. The battery cell module comprises a casing, a plurality of battery cells, a positive plug connector and a negative plug connector. The plurality of battery cells are arranged in the casing along the thickness direction of the battery cells and are connected in series, the positive plug connector and the negative plug connector are arranged on the casing, the battery cells positioned on the outer side in the plurality of battery cells are a first battery cell and a second battery cell, the positive electrode of the first battery cell is electrically connected with the positive plug connector, and the negative electrode of the second battery cell is connected with the negative plug connector. And the two ends of the connecting piece are respectively connected with the casings of the two adjacent battery cell modules. According to the energy storage battery disclosed by the utility model, the battery cell modules do not need to be distinguished in the installation process, so that the assembly efficiency of the energy storage battery is improved, and two adjacent battery cell modules are accurately aligned.",https://lens.org/005-795-544-436-640
183-234-958-304-239,United States,2023-11-16,2023,METHODS AND SYSTEMS FOR SCALABLE DIRECT RECYCLING OF BATTERY WASTE,LI IND INC,LI IND,Thermal & Safety,General Applications,"Embodiments described herein relate to methods of recycling battery waste. In some aspects, a method can include applying a first heat treatment at a temperature of between about 100° C. and about 700° C. to the battery waste, the first heat treatment decomposing at least about 80 wt % of the binder, separating the electrode material from the current collector, and applying a second heat treatment at a temperature between about 400° C. and about 1,200° C. to the electrode material to produce a regenerated electrode material, the second heat treatment decomposing at least 90 wt % of binder remaining in the electrode material to produce a regenerated electrode material. In some embodiments, the method can include applying a surface treatment to the electrode material to remove surface coatings and/or surface impurities from the electrode material. In some embodiments, the surface treatment can include applying a solvent to the electrode material.",https://lens.org/183-234-958-304-239
128-514-329-694-299,United States,2023-01-26,2023,Early-Life Diagnostics For Fast Battery Formation Protocols And Their Impacts To Long-Term Aging,UNIV MICHIGAN REGENTS,UNIV MICHIGAN REGENTS,Battery Chemistry,General Applications,"The present disclosure relates to a method for optimizing the formation protocol of a battery. The method can include the steps of: (a) providing a battery cell structure comprising an anode, an electrolyte, and a cathode including cations that move from the cathode to the anode during charging; (b) performing a first charge of the battery cell structure using a predetermined formation protocol to create a formed battery cell; and (c) determining a cell internal resistance of the formed battery cell. Therefore, one can compare the cell internal resistances of two battery cells formed by using identical battery cell structures and different formation protocols, and select a formation protocol if the first cell internal resistance of a first formed battery is greater than or less than the second cell internal resistance of a second formed battery.",https://lens.org/128-514-329-694-299
105-699-597-867-001,China,2023-04-07,2023,"Battery cluster control method and device, equipment and storage medium",SHANGHAI ELECTRIC GUOXUAN NEW ENERGY TECH CO LTD,SHANGHAI ELECTRIC GUOXUAN NEW ENERGY TECH,Others,Electric Vehicles,"The invention discloses a battery cluster control method, device and equipment and a storage medium, the control method is suitable for a battery energy storage system, and the control method comprises the following steps: reading a fault state of a battery cluster, an operation state of the battery cluster, a charge state of the battery energy storage system and an operation state of the battery energy storage system; and determining a commissioning control strategy of the battery cluster according to the fault state of the battery cluster and/or the operation state of the battery energy storage system. The commissioning control strategy of the battery cluster is determined according to the fault state of the battery cluster and/or the commissioning state of the battery cluster and/or the charge state of the battery energy storage system and/or the running state of the battery energy storage system, automatic switching control over the battery cluster is achieved, and the control efficiency of the battery energy storage system is improved; the cost is reduced, and the reliability of the battery energy storage system is improved.",https://lens.org/105-699-597-867-001
088-259-881-433-338,China,2023-03-10,2023,Energy storage system power optimization method based on battery pack heating uniformity prediction,CLEAN ENERGY DEVELOPMENT RES INSTITUTE STATE GRID QINGHAI ELECTRIC POWER COMPANY;;STATE GRID QINGHAI ELECTRIC POWER CO;;ECONOMIC TECH RESEARCH INSTITUTE STATE GRID QIANGHAI ELECTRIC POWER CO LTD,CLEAN ENERGY DEVELOPMENT RES INSTITUTE STATE GRID QINGHAI ELECTRIC POWER,Thermal & Safety,Electric Vehicles,"The invention provides an energy storage system power optimization method based on battery pack heating uniformity prediction, and relates to the technical field of battery energy storage equipment. In the actual operation of the battery energy storage system, the prediction value of the heating uniformity index of the energy storage battery pack is calculated in real time. If the calculated prediction value of the heating uniformity index of the energy storage battery pack is relatively high, it is considered that the discharge performance of the battery energy storage system is greatly influenced, at the moment, the discharge power of the battery energy storage system is optimized, and the discharge power at the moment is reduced; and the discharge power optimization of the battery energy storage system is realized by increasing the heating uniformity index of the energy storage battery pack, so that the healthy and ordered development of the battery energy storage system is realized.",https://lens.org/088-259-881-433-338
084-798-396-985-275,China,2023-07-07,2023,Soft package cell fast charging system,ANHUI WUXING POWER NEW ENERGY CO LTD,ANHUI WUXING POWER NEW ENERGY,Charging Technology,Electric Vehicles,"The invention discloses a soft package cell fast charging system which comprises a power adapter electrically connected with a municipal power supply and a soft package lithium battery electrically connected with the power adapter, the power adapter is used for converting the municipal power supply from alternating current to direct current, a fast charging unit is arranged in the power adapter, and the soft package lithium battery is electrically connected with the power adapter. The fast charging unit is used for charging the soft package lithium battery, the fast charging unit comprises a filtering module, a rectification module, a control module, a charging current adjusting module and a charging current detection module, and the rectification module is electrically connected with the filtering module. According to the invention, the design is reasonable, the function of rapidly charging the soft package lithium battery can be realized, the charging current can be improved when the electric quantity is low to realize a rapid charging effect, the electric quantity of the soft package lithium battery can be rapidly improved, the charging current can be reduced when the electric quantity is high to realize a normal slow charging effect, overcharging is prevented, and the charging efficiency is improved. Therefore, the damage to the soft package lithium battery can be effectively reduced, and the service life of the soft package lithium battery is prolonged.",https://lens.org/084-798-396-985-275
063-349-836-822-977,China,2023-12-29,2023,Screening and formulating method for fast charging strategy of lithium ion battery,RISESUN MGL NEW ENERGY TECH CO LTD,RISESUN MGL NEW ENERGY TECH,Charging Technology,General Applications,"The invention relates to the technical field of batteries, and particularly provides a rapid screening and formulating method for a lithium ion battery rapid charging strategy, and the method comprises the following steps: carrying out the at least one section of large-current charging on a lithium ion three-electrode battery, and obtaining an optimal rapid charging strategy; and carrying out strategy cycle test on the two-electrode battery with the same system as the lithium ion three-electrode battery by using the optimal fast charging strategy, and verifying and/or optimizing the optimal fast charging strategy. According to the method disclosed by the invention, the optimal rapid charging strategy can be rapidly screened out in a mode of segmented rapid charging circulation of the lithium ion battery, so that the risk of lithium precipitation on the surface of the negative plate during large-current charging of the lithium ion battery is greatly reduced, the decline of the battery is slowed down, and the cycle life of the lithium ion battery is prolonged.",https://lens.org/063-349-836-822-977
001-143-887-626-199,United States,2023-01-31,2023,Hybrid cell design of alternately stacked or wound lithium ion battery and capacitor electrodes,GM GLOBAL TECH OPERATIONS LLC,GM GLOBAL TECH OPERATIONS,Battery Chemistry,General Applications,"Electrodes are formed with a porous layer of particulate electrode material bonded to each of the two major sides of a compatible metal current collector. In one embodiment, opposing electrodes are formed with like lithium-ion battery anode materials or like cathode materials or capacitor materials on both sides of the current collector. In another embodiment, a battery electrode material is applied to one side of a current collector and capacitor material is applied to the other side. In general, the electrodes are formed by combining a suitable grouping of capacitor layers with un-equal numbers of anode and cathode battery layers. One or more pairs of opposing electrodes are assembled to provide a combination of battery and capacitor energy and power properties in a hybrid electrochemical cell. The cells may be formed by stacking or winding rolls of the opposing electrodes with interposed separators.",https://lens.org/001-143-887-626-199
167-238-450-195-914,United States,2023-11-14,2023,Automated reference electrode management,GM GLOBAL TECH OPERATIONS LLC,GM GLOBAL TECH OPERATIONS,Charging Technology,Electric Vehicles,"A vehicle, and a balancing device and method of controlling a state of charge of a reference electrode in a battery. The balancing device includes a measurement circuit and a charging circuit. The measurement circuit is configured to obtain a measurement of a reference voltage of the reference electrode. The charging circuit is configured to adjust the reference voltage based on the measurement. The state of charge of the reference electrode is controlled based on the reference voltage.",https://lens.org/167-238-450-195-914
059-465-733-611-134,China,2023-07-21,2023,Intelligent charging method for lithium ion power battery,INSTITUTE OF DONGGUAN SUN YAT SEN UNIV;;UNIV ZHONGSHAN,INSTITUTE OF DONGGUAN SUN YAT SEN UNIV,Charging Technology,General Applications,"The invention discloses an intelligent charging method for a lithium ion power battery. The intelligent charging method comprises the following steps: constructing a battery fast charging simulation model and acquiring parameters; acquiring an initial charging safety boundary of the battery; verifying the initial charging safety boundary through a lithium ion power battery full life cycle data test platform to obtain a target charging safety boundary; according to the target charging safety boundary, calculating a final optimal solution of multiple targets of battery fast charging through an improved genetic algorithm to obtain a first fast charging strategy; the first fast charging strategy is optimized according to the pulse width, a final target fast charging strategy is obtained, and the final target fast charging strategy obtained through the overall steps can shorten the charging time of the lithium ion power battery, reduce temperature rise, delay the service life of the battery and reduce energy loss during charging. The method can be widely applied to the technical field of rapid battery charging optimization.",https://lens.org/059-465-733-611-134
050-955-243-102-024,China,2023-01-20,2023,Cathode lithium supplement fast charging pole piece and fast charging battery,JIANGSU ZHENGLI XINNENG BATTERY TECHNOLOGY CO LTD,JIANGSU ZHENGLI XINNENG BATTERY TECHNOLOGY,Battery Chemistry,General Applications,"The invention belongs to the technical field of batteries, and particularly relates to a cathode lithium supplement fast charge pole piece and a fast charge battery. The negative electrode lithium supplement fast charge pole piece comprises a negative electrode current collector, a negative electrode diaphragm and a lithium supplement layer, and the particle size, porosity, surface density of a negative electrode active material, particle size of lithium powder and porosity of lithium powder on the surface of a negative electrode meet certain conditions. According to the cathode lithium supplement fast charge pole piece, the safety risk in the circulation process is effectively reduced, and meanwhile, the cycle life and the energy density of a fast charge battery are improved.",https://lens.org/050-955-243-102-024
029-831-504-815-036,United States,2023-01-31,2023,Aerogel-based electrodes,STOREDOT LTD,STOREDOT,Battery Chemistry,General Applications,"Electrodes, production methods and mono-cell batteries are provided, which comprise active material particles embedded in electrically conductive metallic porous structure, dry-etched anode structures and battery structures with thick anodes and cathodes that have spatially uniform resistance. The metallic porous structure provides electric conductivity, a large volume that supports good ionic conductivity, that in turn reduces directional elongation of the particles during operation, and may enable reduction or removal of binders, conductive additives and/or current collectors to yield electrodes with higher structural stability, lower resistance, possibly higher energy density and longer cycling lifetime. Dry etching treatments may be used to reduce oxidized surfaces of the active material particles, thereby simplifying production methods and enhancing porosity and ionic conductivity of the electrodes. Electrodes may be made thick and used to form mono-cell batteries which are simple to produce and yield high performance.",https://lens.org/029-831-504-815-036
166-346-746-471-756,China,2023-10-31,2023,Lithium ion battery negative pole piece and lithium ion battery,CHUNENG NEW ENERGY CO LTD,CHUNENG NEW ENERGY,Charging Technology,General Applications,"The utility model provides a lithium ion battery negative pole piece and a lithium ion battery, and relates to the technical field of lithium ion batteries, the lithium ion battery negative pole piece comprises a current collector and a first fast charge coating positioned on at least one side of the current collector, and a second fast charge coating is arranged on the outer side of the first fast charge coating; lithium ion channels are arranged in the first fast charging coating and the second fast charging coating, and the number of the lithium ion channels in the second fast charging coating is larger than that of the lithium ion channels in the first fast charging coating. The lithium ion battery negative pole piece and the lithium ion battery provided by the utility model can solve the problem that lithium is easy to separate out on the surface of the negative pole when the lithium ion battery is quickly charged.",https://lens.org/166-346-746-471-756
075-952-873-661-991,China,2023-11-17,2023,Battery charging and power utilization equipment,SUNWODA POWER TECHNOLOGY CO LTD,SUNWODA POWER TECHNOLOGY,Charging Technology,Electric Vehicles,"The embodiment of the invention provides a charging method of a battery and electric equipment, and the charging method provided by the embodiment of the invention can eliminate polarization caused by large-current fast charging and improve interface lithium precipitation under the condition of slightly increasing the charging time by carrying out large-current and small-current alternate charging and discharging circulation in a fast charging circulation process, so that the charging efficiency of the battery is improved, and the service life of the battery is prolonged. The abnormal diving phenomenon of the battery cell is prevented, and the interface SOC regional difference caused by fast charging is balanced; in addition, low-current charging can reduce the temperature rise difference of the battery core, reduce the regional over-charge and over-discharge phenomena, improve the lithium precipitation and prolong the available life of the battery, so that the problem that the lithium precipitation of the negative electrode of the lithium battery cannot be improved on the premise of ensuring the fast charging performance in the existing charging mode is solved.",https://lens.org/075-952-873-661-991
158-197-938-806-593,China,2023-04-04,2023,Commercial electricity storage and replacement station based on 1500V battery system,SUZHOU DUONENGDUO NEW ENERGY TECH CO LTD,SUZHOU DUONENGDUO NEW ENERGY TECH,Charging Technology,Energy Storage Systems,"The invention relates to the field of electricity storage and replacement stations, in particular to a commercial electricity storage and replacement station based on a 1500V battery system. Comprising an appearance canopy, a battery replacement channel, a channel eave, a monitoring room, a horizontal guide rail, a battery replacement robot, a charger, a charging bin, a 1500V battery system, an energy storage converter, an energy storage battery integrated system, an off-grid and grid-connected switching cabinet and an EMS energy management system. The energy storage converter is connected with the charger, the energy storage converter is connected with the off-grid and grid-connected switching cabinet, the energy storage converter is connected with the energy storage battery integrated system, the energy storage converter stores residual electric energy after charging in the energy storage battery integrated system, and the energy storage battery integrated system charges the 1500V battery system through the charger; according to the power storage and replacement station, rapid charging of a 1500V battery system can be realized; the surplus electric energy can be stored in the energy storage battery integrated system, and when the external power supply is disconnected, the charger can use the stored electric energy for charging.",https://lens.org/158-197-938-806-593
075-281-796-386-679,United States,2023-04-13,2023,LITHIUM-ION SECONDARY BATTERY AND PREPARATION METHOD THEREOF,HEFEI GOTION HIGH TECH POWER ENERGY CO LTD,HEFEI GOTION HIGH TECH POWER ENERGY,Thermal & Safety,Electric Vehicles,"Provided are a lithium-ion battery and a preparation method therefor. The preparation method comprises the steps of connecting a plurality of cells in series and/or in parallel and then sealing to obtain a module, with the cells being jelly-rolls or stacking-rolls. According to the preparation method, the process is simple, and a battery housing shell and a module housing are combined into a whole, thereby greatly reducing the cost. Moreover, in the design of battery, the battery is internally provided with a heating sheet of graphene, etc., so as to overcome the low-temperature bottleneck of the lithium-ion battery. The standardized battery directly achieves integrated manufacturing from jelly-rolls or stacking-rolls into a module, has the characteristics of a low cost, a high energy density, a wide temperature range, high safety and a long service life, and omits the post-manufacturing procedure for the module so as to reduce the production cost.",https://lens.org/075-281-796-386-679
052-844-145-013-598,European Patent Office,2023-05-10,2023,METHOD FOR CONTROLLING A BATTERY ENERGY STORAGE SYSTEM AND BATTERY ENERGY STORAGE SYSTEM,ABB SCHWEIZ AG,ABB SCHWEIZ AG,Others,Energy Storage Systems,,https://lens.org/052-844-145-013-598
019-270-991-622-652,European Patent Office,2023-03-29,2023,FAST-CHARGING GRAPHITE AND BATTERY,JIANGSU ZENERGY BATTERY TECH CO LTD,JIANGSU ZENERGY BATTERY TECH,Battery Chemistry,General Applications,"Disclosed are a fast-charging graphite and a battery. The graphite has a graphitization degree of 90-97% and a lithium-ion diffusion coefficient of 2.3×10<sup>-14</sup> - 8.7×10<sup>-12</sup> cm<sup>2</sup>/s at 25°C and a state of charge (SOC) of 10%. The battery includes a cathode plate, an anode plate, a separator arranged between the cathode plate and the anode plate, and an electrolyte. The anode plate includes an anode current collector and an anode coating coated on at least one side of the anode current collector. The anode coating includes an anode active material, and the anode active material includes the fast-charging graphite. Compared with the prior art, the graphite has good fast charging performance, and the battery made with the graphite has excellent dynamic performance, charging ability, and cycle life.",https://lens.org/019-270-991-622-652
017-745-745-287-450,China,2023-09-22,2023,High-voltage electrolyte suitable for fast-charging lithium battery and lithium battery,UNIV ZHEJIANG,UNIV ZHEJIANG,Battery Chemistry,General Applications,"The invention discloses a high-voltage electrolyte suitable for a fast-charging lithium battery and the lithium battery, and belongs to the technical field of lithium battery electrolytes. The electrolyte comprises an organic solvent, and the organic solvent is a fluoronitrile compound. The fluoronitrile compound is used as the solvent of the lithium battery electrolyte, so that the electrolyte not only ensures the wide electrochemical window and ultrahigh ionic conductivity of the nitrile electrolyte, but also ensures the excellent film-forming property and low interface impedance of the fluoride electrolyte, and meanwhile, the huge progress of the lithium battery in the fields of high voltage and fast charge is realized. The lithium salt, the fluoronitrile compound and the additive in the high-voltage fast-charging electrolyte for the lithium battery are specifically combined, and the concentration and the ratio are further optimized, so that the high-voltage fast-charging electrolyte added with the high-voltage fast-charging electrolyte has excellent compatibility with a positive electrode and a negative electrode, and the long cycle life and the high coulombic efficiency of the lithium battery are further realized.",https://lens.org/017-745-745-287-450
057-416-108-387-516,China,2023-02-03,2023,"Battery lithium precipitation protection method and device, electronic equipment and storage medium",EVE ENERGY CO LTD,EVE ENERGY,Charging Technology,Electric Vehicles,"The invention discloses a battery lithium precipitation protection method and device, electronic equipment and a storage medium. The battery lithium precipitation protection method comprises the steps that the charging and discharging cycle life and the quick charging time of a battery in a preset quick charging mode are acquired; according to the cycle life and the fast charging time, determining the number of cycles of charging and discharging in a preset fast charging mode; determining a current rate in a trimming mode according to the fast charging time, wherein the current rate in the trimming mode is smaller than a current rate in a preset fast charging mode; and converting the charging mode of the battery from a preset fast charging mode to a finishing mode according to the cycle index. By adding the trimming mode after the multi-time fast charging mode, lithium precipitation of the battery can be prevented or slowed down. Moreover, the cycle life represents the fast charge cycle performance of the battery, the fast charge time of the preset fast charge mode represents the severity of lithium precipitation of the battery caused by the preset fast charge mode, and the cycle times of charging and discharging in the preset fast charge mode are determined by combining the cycle life and the fast charge time, so that the setting of the cycle times is more reasonable; and the influence on user experience is avoided.",https://lens.org/057-416-108-387-516
161-602-925-825-474,China,2023-09-12,2023,Fast-charging lithium battery with real-time voltage detection function,JIANGSU LIANGYING TECH CO LTD,JIANGSU LIANGYING TECH,Charging Technology,Electric Vehicles,"The utility model discloses a fast-charging lithium battery with a real-time voltage detection function, and relates to the technical field of fast-charging lithium batteries, the fast-charging lithium battery comprises a battery block, the periphery of the battery block is sleeved with a shell, and the upper end of the shell is provided with a detection assembly. The problems that the voltage change in the battery cannot be clearly known due to the fact that the capacitance in the battery is not known, the function of the fast-charging lithium battery is insufficient or the endurance time is short when the charging time is too long, the battery is collided when the charging time is too long, and even the battery is exploded when the battery is seriously collided are solved. According to the utility model, through the arrangement of the battery block, the first conductive foil, the second conductive foil, the detection assembly, the chip, the LED lamp and the voltage stabilizing diode, real-time voltage detection of the fast-charging lithium battery is realized.",https://lens.org/161-602-925-825-474
107-129-752-082-14X,China,2023-05-23,2023,Fast-charging lithium battery with heat dissipation and explosion-proof functions,JIANGSU LIANGYING TECH CO LTD,JIANGSU LIANGYING TECH,Charging Technology,Electric Vehicles,"The utility model discloses a quick-charge lithium battery with heat dissipation and explosion-proof functions, which relates to the technical field of quick-charge lithium batteries and comprises a quick-charge lithium battery main body and a shell, the quick-charge lithium battery main body is arranged in the shell, a heat dissipation component is arranged in the shell, and an anti-seismic component is arranged in the shell. The utility model solves the problems that the heat dissipation effect of the fast-charging lithium battery is poor, the heat generated when the lithium battery is used cannot be quickly dissipated, and the fast-charging lithium battery is easy to swell and explode due to high temperature and overheating because the shell of the existing fast-charging lithium battery is tightly attached to the lithium battery main body. Through the arrangement of the heat dissipation assembly, the ventilation net, the inner cavity, the attaching layer, the anti-seismic assembly, the fixed seat and the placement groove, the rapid heat dissipation of the rapid-charging lithium battery is realized, the explosion caused by high-temperature bulge is prevented, meanwhile, the anti-seismic effect of the rapid-charging lithium battery in use is also improved, and the safety of the rapid-charging lithium battery is improved.",https://lens.org/107-129-752-082-14X
