#,Lens ID,Jurisdiction,Publication Date,Publication Year,Title,Abstract,Applicants,Inventors,URL
75,131-790-672-255-241,US,2021-02-11,2021,LAYERED OXIDE COMPOSITE CATHODES FOR LITHIUM-ION BATTERIES,"Provided herein are apparatus, systems, and methods of powering electrical vehicles. The apparatus can include a battery pack disposed in an electric vehicle to power the electric vehicle. The apparatus can include a battery cell arranged in the battery pack. The battery cell can have a housing that defines a cavity within the housing of the battery cell. The battery cell can have an electrolyte having a first side and a second side to transfer lithium ions between the first side and the second side. The electrolyte can be arranged within the cavity. The battery cell can have an anode disposed within the cavity along the first side of the electrolyte. The battery cell can have a composite cathode disposed within the cavity along the second side of the electrolyte. The composite cathode can include a mixture of a NCA material and a NCM material.",SF MOTORS INC,HUANG CHIEN-PO;;MAO CHENGYU;;HUANG YU-HSIN;;LIU YING;;TANG YIFAN,https://lens.org/131-790-672-255-241
76,136-576-521-233-306,US,2024-11-19,2024,Compact and lightweight drone delivery device called an ArcSpear electric jet drone system having an electric ducted air propulsion system and being relatively difficult to track in flight,"A compact and lightweight, drone delivery device propelled by an electric ducted air propulsion system. The device is called an ArcSpear Electric Jet Drone System and is relatively difficult to track in flight (stealth), relatively fast, able to maneuver quickly, and able to be re-deployed after recharging and replenishing the payload. The system includes a frame carrying the propulsion system, payload, and controls. The frame structure supports a flight controller and a ducted turbine system with at least one and preferably four turbines the blades/impellers being secured inside a protection shroud/duct and individual electric motors that are powered by rechargeable batteries.",BITAR PETE,BITAR PETE,https://lens.org/136-576-521-233-306
77,141-880-157-305-007,US,2017-05-02,2017,Lithium transition metal oxide having layered structure,"Suggested is a lithium metal compound oxide having a layered structure which is expressed by general formula of Li1+xM1−xO2 (M represents metal elements including three elements of Mn, Co, and Ni). In the lithium metal compound oxide having a layered structure, D50 is more than 4 μm and less than 20 μm, a ratio of a primary particle area to a secondary particle area of secondary particles having a size corresponding to the D50 (“primary particle area/secondary particle area”) is 0.004 to 0.035, and the minimum value of powder crushing strength that is obtained by crushing a powder using a microcompression tester is more than 70 MPa.",MITSUI MINING & SMELTING CO,MITSUMOTO TETSUYA;;IDE HITOHIKO;;KAGEI SHINYA;;HATA YOSHIMI,https://lens.org/141-880-157-305-007
78,173-889-031-772-103,US,2021-05-27,2021,LITHIUM ION SECONDARY BATTERY,"A lithium ion secondary battery includes a positive electrode, a negative electrode, a separator disposed between the positive electrode and the negative electrode, and a non-aqueous electrolyte. The positive electrode includes a positive electrode active material layer including a lithium iron phosphate. The positive electrode active material layer has a pore curvature from 50 to 120 as measured by a mercury porosimeter. The negative electrode includes a negative electrode active material layer including graphite. The negative electrode active material layer has a pore curvature from 5 to 30 as measured by the mercury porosimeter.",MURATA MANUFACTURING CO,HASHIZUME YUICHIRO;;HAYASHI TAKESHI,https://lens.org/173-889-031-772-103
79,177-687-863-193-147,CN,2019-12-10,2019,Micro electric passenger vehicle lithium ion battery management system and method,"The invention discloses a micro electric passenger vehicle lithium ion battery management system. The micro electric passenger vehicle lithium ion battery management system comprises a battery management module, a first electric quantity detection module, a second electric quantity detection module, a first lithium battery, a second lithium battery, a temperature sensor, a current sensor, a voltage sensor, a power supply switching module and a power supply interface. According to the micro electric passenger vehicle lithium ion battery management system, the first lithium battery and the second lithium battery are arranged, so that the operation of a vehicle cannot be influenced even if one group of batteries have faults; and meanwhile, an additional group of batteries can be arranged to prevent one group of batteries from operating continuously, so that the service life of batteries is prolonged.",YANGZHOU DOJO NEW ENERGY DEV CO LTD,LI KAN;;TENG TENG,https://lens.org/177-687-863-193-147
80,193-272-372-403-256,US,2019-01-31,2019,NOVEL BATTERY SYSTEMS BASED ON TWO-ADDITIVE ELECTROLYTE SYSTEMS,"Improved battery systems have been developed for lithium-ion based batteries. The improved battery systems consist of two-additive mixtures in an electrolyte solvent that is a carbonate solvent, an organic solvent, a non-aqueous solvent, and/or methyl acetate. The positive electrode of the improved battery systems may be formed from lithium nickel manganese cobalt compounds, and the negative electrode of the improved battery system may be formed from natural or artificial graphite.",TESLA MOTORS CANADA ULC,DAHN JEFFERY R;;LI JING;;GLAZIER STEPHEN LAURENCE,https://lens.org/193-272-372-403-256
81,008-022-747-266-164,US,2020-06-02,2020,Electric vehicle lithium batteries having non-uniform anode layer,"Apparatuses, systems, and methods of storing electrical energy for electric vehicles are provided. A battery pack can be disposed in an electric vehicle to power the electric vehicle. A battery cell can be arranged in the battery pack. The battery cell can include a housing. The housing can define a cavity within the housing. The cavity of the battery cell can include a separator having a first side and a second side, a cathode disposed along the first side of the separator, and an anode disposed along the second side of the separator. The anode can include a first portion adjacent to the second side of the separator, and a second portion adjacent to the first portion and separated from the separator by the first portion. A porosity of the first portion of the anode can be greater than a porosity of the second portion of the anode.",SF MOTORS INC,FOROUZAN MEHDI M;;RAHIMIAN SAEED KHALEGHI;;HAN SANGWOO;;LIU YING;;TANG YIFAN,https://lens.org/008-022-747-266-164
82,011-816-788-543-474,US,2020-06-11,2020,ELECTRIC VEHICLE LITHIUM BATTERIES HAVING NON-UNIFORM ANODE LAYER,"Apparatuses, systems, and methods of storing electrical energy for electric vehicles are provided. A battery pack can be disposed in an electric vehicle to power the electric vehicle. A battery cell can be arranged in the battery pack. The battery cell can include a housing. The housing can define a cavity within the housing. The cavity of the battery cell can include a separator having a first side and a second side, a cathode disposed along the first side of the separator, and an anode disposed along the second side of the separator. The anode can include a first portion adjacent to the second side of the separator, and a second portion adjacent to the first portion and separated from the separator by the first portion. A porosity of the first portion of the anode can be greater than a porosity of the second portion of the anode.",SF MOTORS INC,FOROUZAN MEHDI M;;RAHIMIAN SAEED KHALEGHI;;HAN SANGWOO;;LIU YING;;TANG YIFAN,https://lens.org/011-816-788-543-474
83,024-695-454-118-519,US,2022-07-07,2022,"ELECTROLYTE FOR LITHIUM-ION BATTERY, LITHIUM-ION BATTERY, BATTERY MODULE, BATTERY PACK, AND APPARATUS","This application provides an electrolyte for lithium-ion battery, a lithium-ion battery, a battery module, a battery pack, and an apparatus. The electrolyte provided in this application includes a non-aqueous solvent, and a lithium salt and an additive that are dissolved in the non-aqueous solvent, and the additive includes a cyclosiloxane and a fluoroether. This application further provides a lithium-ion battery including the foregoing electrolyte. In the electrolyte provided in this application, the cyclosiloxane and the fluoroether are used together to synergistically react on a surface of the positive electrode, combining silicon and oxygen containing groups and fluorine and oxygen containing groups to form an interface film containing silicon, oxygen, and fluorine, which not only ensures density of the interface film, but also strengthens oxidation resistance and thermal stability of the interface film, greatly improving both storage performance and cycling performance of the lithium-ion battery under high temperature.",CONTEMPORARY AMPEREX TECHNOLOGY CO LTD,LI YONGKUN;;WU KAI;;TIAN SHAOJIE,https://lens.org/024-695-454-118-519
84,031-808-375-273-678,US,2022-01-18,2022,Serial SOC testing for improved fast-charge algorithm,"An automatically generated and customized fast charging process results in reduced degradation in the battery cell. An algorithm for a particular battery cell profile is automatically generated and customized to minimize degradation due to fast charging for that particular batch. To generate the custom algorithm, battery cell information is retrieved for a profile of a battery, wherein each battery profile may have a particular manufacturer, model, type, electrode batch, and potentially other specific identification information. Each battery cell is charged from a particular SOC level and at a selected C-rate, and then discharged. During discharge, the battery cell is monitored for detection of lithium plating or other undesirable effects. A lookup table is automatically generated from the battery cell information, and can be provided to devices and/or battery management systems. The BMS then uses the lookup table to apply a charging process that is customized to the on-board battery.",CHONGQING JINKANG POWERTRAIN NEW ENERGY CO LTD,CAMPBELL BRENNAN;;RAHIMIAN SAEED KHALEGHI;;TOLENTINO JOSEPH;;TANG YIFAN;;LIU YING,https://lens.org/031-808-375-273-678
85,043-731-639-373-131,US,2021-07-01,2021,"LITHIUM-ION BATTERY, BATTERY MODULE, BATTERY PACK, AND APPARATUS","This application provides a lithium-ion battery, a battery module, a battery pack, and an apparatus. The lithium-ion battery includes a positive electrode plate, a negative electrode plate, a separator, and a nonaqueous electrolyte. The positive electrode plate includes Li1+xNiaCobMe(1-a-b)O2-cYc, where −0.1≤x≤0.2, 0.8≤a<1, 0<b<1, 0<(1-a-b)<1, 0≤c<1, Me is selected from one or more of Mn, Al, Mg, Zn, Ga, Ba, Fe, Cr, Sn, V, Sc, Ti, and Zr, and Y is selected from one or more of F, Cl, and Br. The nonaqueous electrolyte includes a nonaqueous solvent and a lithium salt, where the nonaqueous solvent includes a carbonate solvent and a high oxidation potential solvent, and the high oxidation potential solvent is selected from one or more of compounds represented by formula I and formula II.",CONTEMPORARY AMPEREX TECHNOLOGY CO LTD,FENG JUNMIN;;CHEN PEIPEI;;FU CHENGHUA;;LIANG CHENGDU,https://lens.org/043-731-639-373-131
86,047-435-462-025-631,US,2017-10-26,2017,MOTOR VEHICLE,"There is provided a motor vehicle including a lithium ion capacitor; an electrical load configured to transmit electric power to and from at least the lithium ion capacitor; and a control device. The control device is programmed to control the lithium ion capacitor such as to be charged and discharged according to a discharging excess pattern that provides a higher discharge current value than a charging current value, when a degree of degradation of the lithium ion capacitor reaches or exceeds a predetermined level by charging and discharging the lithium ion capacitor according to a charging excess pattern that provides a higher charging current value than a discharge current value.",TOYOTA MOTOR CO LTD,KANO SA;;ISHIDA RYUTA;;MURAKAMI YUKINORI,https://lens.org/047-435-462-025-631
87,053-235-998-100-442,US,2020-05-21,2020,LITHIUM-METAL FREE ANODE FOR ELECTRIC VEHICLE SOLID STATE BATTERIES,"Apparatuses, systems, and methods of storing electrical energy for electric vehicles are provided. A battery pack can be disposed in an electric vehicle to power the electric vehicle. A battery cell can be arranged in the battery pack. The battery cell can have a housing. The housing can define a cavity within the housing. The battery cell can have a solid electrolyte arranged within the cavity. The battery cell can have a cathode disposed within the cavity along a first side of the solid electrolyte. The battery cell can have an anode. The anode can have a carbon nanotube structure. The anode can be disposed within the cavity along the second side of the solid electrolyte and separated from the cathode by the solid electrolyte. The carbon nanotube structure can have pores. The pores can be deposited with electrolyte material to retain lithium material received via the solid electrolyte.",SF MOTORS INC,YANG GANG;;LIU YING;;TANG YIFAN,https://lens.org/053-235-998-100-442
88,053-332-319-037-192,US,2020-07-02,2020,Serial SOC Testing for Improved Fast-Charge Algorithm,"An automatically generated and customized fast charging process results in reduced degradation in the battery cell. An algorithm for a particular battery cell profile is automatically generated and customized to minimize degradation due to fast charging for that particular batch. To generate the custom algorithm, battery cell information is retrieved for a profile of a battery, wherein each battery profile may have a particular manufacturer, model, type, electrode batch, and potentially other specific identification information. Each battery cell is charged from a particular SOC level and at a selected C-rate, and then discharged. During discharge, the battery cell is monitored for detection of lithium plating or other undesirable effects. A lookup table is automatically generated from the battery cell information, and can be provided to devices and/or battery management systems. The BMS then uses the lookup table to apply a charging process that is customized to the on-board battery.",SF MOTORS INC;;CHONGQING JINKANG NEW ENERGY VEHICLE LTD,CAMPBELL BRENNAN;;RAHIMIAN SAEED KHALEGHI;;TOLENTINO JOSEPH;;TANG YIFAN;;LIU YING,https://lens.org/053-332-319-037-192
89,054-048-415-780-419,US,2016-06-16,2016,CHARGING APPARATUS,"A charging apparatus is mounted on a vehicle having a plurality of batteries and a power generating device. The charging apparatus is provided with a controller (i) configured to obtain power accumulation ratios of the plurality of batteries, (ii) configured to determine whether or not each of obtained power accumulation ratios is in an appropriate range corresponding to each of the plurality of batteries, and (iii) configured to control the power generating device so that generated voltage of the power generating device is in an overlap range, if it is determined that power accumulation ratio of one battery of the plurality of batteries is greater than an upper limit of the appropriate range of the one of battery and if the power generating device performs the power regeneration upon deceleration of the vehicle.",TOYOTA MOTOR CO LTD,SUZUKI TAKEAKI;;MIYASHITA MICHIHIRO;;ESHIMA KAZUHITO;;NATE HIROSHI;;HORITAKE SUNAO,https://lens.org/054-048-415-780-419
90,057-536-274-649-645,US,2014-12-16,2014,Surface-mediated cell-powered vehicles and methods of operating same,"This invention provides a vehicle powered by a surface-mediated cell (SMC)-based power source, comprising a vehicle frame, at least a wheel supporting the frame or a propeller connected to the frame, a drive unit connected to the wheel or propeller, and a power source electrically connected to the drive unit, wherein the power source contains at least a surface-mediated cell. The vehicle can be a micro-EV (using the SMC for the stop-start function), HEV, plug-in HEV, all-electric vehicle, power-assisted bicycle, scooter, motorcycle, tricycle, automobile, wheelchair, fork lift, golf cart, specialty vehicle, bus, truck, train, rapid-transit vehicle, boat, or air vehicle. The ultra-high power density enables the SMC to provide pulsed power or increased current demands when the vehicle is accelerating or hill-climbing. The SMC also enables the power source to recuperate the braking energy when the vehicle decelerates, brakes, or simply moves down-hill.",ZHAMU ARUNA;;CHEN GUORONG;;WANG XIQING;;JANG BOR Z;;WANG YANBO;;FANG QING;;NANOTEK INSTRUMENTS INC,ZHAMU ARUNA;;CHEN GUORONG;;WANG XIQING;;JANG BOR Z;;WANG YANBO;;FANG QING,https://lens.org/057-536-274-649-645
91,072-598-164-847-007,CN,2019-08-02,2019,Method for determining overcharge boundary condition of ternary lithium ion power battery,"The invention provides a method for determining overcharge boundary condition of a ternary lithium ion power battery, which comprises the following steps: (1) pretreating a ternary lithium ion battery; (2) connecting a test device, and performing an overcharge test under an adiabatic condition; (3) and after the adiabatic overcharge test is finished, analyzing an overcharge test curve of the ternary lithium ion battery, and determining an overcharge boundary value of the lithium ion power battery. The invention can determine the overcharge boundary condition of the ternary lithium ion battery.According to the method, the overcharge boundary condition of the ternary lithium ion battery covering parameters such as voltage, temperature and electric quantity can be determined, data support can be provided for a control strategy of a battery management system, guarantee is provided for safety and reliability of the battery system, and reliable basis is provided for formulation of a whole vehicle charging strategy of the electric vehicle, so that whole vehicle use safety of the electric vehicle can be guaranteed, and electric vehicle safety accidents caused by overcharge are reduced.",CHINA AUTOMOTIVE TECH & RES CT;;CHINA AUTOMOTIVE RES AUTOMOTIVE INSPECTION CENTER TIANJIN CO LTD,LIU SHIQIANG;;WANG FANG;;MA TIANYI;;BU XIANGJUN;;WEI ZHEN;;CHEN LIDUO;;FAN BIN;;ZHANG DONGYING,https://lens.org/072-598-164-847-007
92,097-934-749-427-89X,EP,2022-04-06,2022,"ELECTROLYTE FOR LITHIUM-ION BATTERY, LITHIUM-ION BATTERY, BATTERY MODULE, BATTERY PACK, AND DEVICE","This application provides an electrolyte for lithium-ion battery, a lithium-ion battery, a battery module, a battery pack, and an apparatus. The electrolyte provided in this application includes a non-aqueous solvent, and a lithium salt and an additive that are dissolved in the non-aqueous solvent, and the additive includes a cyclosiloxane and a fluoroether. This application further provides a lithium-ion battery including the foregoing electrolyte. In the electrolyte provided in this application, the cyclosiloxane and the fluoroether are used together to synergistically react on a surface of the positive electrode, combining silicon and oxygen containing groups and fluorine and oxygen containing groups to form an interface film containing silicon, oxygen, and fluorine, which not only ensures density of the interface film, but also strengthens oxidation resistance and thermal stability of the interface film, greatly improving both storage performance and cycling performance of the lithium-ion battery under high temperature.",CONTEMPORARY AMPEREX TECHNOLOGY CO LTD,LI YONGKUN;;WU KAI;;TIAN SHAOJIE,https://lens.org/097-934-749-427-89X
93,098-048-304-149-030,US,2014-07-03,2014,HYBRID BATTERY SYSTEM FOR ELECTRIC AND HYBRID ELECTRIC VEHICLES,"A disclosed energy storage system for an application having an energy requirement and a power requirement may include a first component configured to provide the energy requirement of the application and a second component configured to provide the power requirement of the application. At least one of a volume, mass, weight, or cost of the combination of the first component and the second component may be less than a volume, mass, weight, or cost needed for either the first component or the second component to provide the energy requirement and the power requirement of the application. An anode of the second component may comprise lithium titanate.",ENERGY POWER SYSTEMS LLC,DHAR SUBHASH K;;ALBANO FABIO;;VENKATESAN SRINIVASAN;;TOWNSEND DENNIS,https://lens.org/098-048-304-149-030
94,098-177-345-285-670,US,2020-06-18,2020,PRELITHIATED ANODE IN BATTERY CELLS FOR ELECTRIC VEHICLES,"Provided herein are systems, apparatuses, and methods of providing electrical energy for electric vehicles. A battery pack can be disposed in an electric vehicle to power the electric vehicle. A battery cell can be arranged in the battery pack. The battery cell can have a housing. The housing can define a cavity within the housing. The battery cell can have an electrolyte arranged within the cavity. The battery cell can have a cathode disposed within the cavity along one side of the electrolyte. The battery cell can have an anode disposed within the cavity along another side of the electrolyte. The anode can have a silicon-carbon structure. The silicon-carbon structure can be doped with lithium material prior to an initial charge cycle of the battery cell. The anode can have a negative electrode capacity 20-50% greater than a positive electrode capacity of the cathode.",TERAWATT TECHNOLGY INC,OGATA KEN;;IMOTO HIROSHI,https://lens.org/098-177-345-285-670
95,109-485-649-168-635,JP,2023-01-17,2023,LITHIUM ION BATTERY AND ELECTRIC VEHICLE WITH LITHIUM ION BATTERY,"To provide a lithium ion battery in which the load current characteristics of the lithium ion battery is effectively improved, meanwhile, the heat dissipation capacity of a battery structure is optimized, and the connection reliability is improved, and an electric vehicle with the same.SOLUTION: A lithium ion battery includes: a cover plate assembly 1 including a pole terminal 10 and a polarity connecting member 19, the pole terminal 10 being connected with the polarity connecting member 19; and a cell assembly 2 having a cell tab assembly 200, the pole terminal 10 being connected and conducted with the cell tab assembly 200 through the polarity connecting member 19. The polarity connecting member 19 is directly or indirectly connected, as a hard connecting member, with the cell tab assembly 200. The polarity connecting member 19 is in interference fit with the pole terminal 10 for laser welding.SELECTED DRAWING: Figure 12",GREE ALTAIRNANO NEW ENERGY INC,JIANG SHIYONG;;ZHAN SHIYING;;XU DELEI;;LI HAIJUN;;CHENG AHONG;;DENG SAIJUN,https://lens.org/109-485-649-168-635
96,111-343-990-570-159,US,2019-01-08,2019,High purity lithium and associated products and processes,"High purity lithium and associated products are provided. In a general embodiment, the present disclosure provides a lithium metal product in which the lithium metal is obtained using a selective lithium ion conducting layer. The selective lithium ion conducting layer includes an active metal ion conducting glass or glass ceramic that conducts only lithium ions. The present lithium metal products produced using a selective lithium ion conducting layer advantageously provide for improved lithium purity when compared to commercial lithium metal. Pursuant to the present disclosure, lithium metal having a purity of at least 99.96 weight percent on a metals basis can be obtained.",CLEAN LITHIUM CORP;;ALPHA EN CORP,SWONGER LAWRENCE RALPH;;BODOIN EMILIE,https://lens.org/111-343-990-570-159
97,142-475-646-688-181,US,2022-06-30,2022,LIFE-EXTENDING RECHARGE CONTROL FOR COLD WEATHER LITHIUM-ION POWER SUPPLIES,"A lithium-ion battery assembly configured to provide electric power to a vehicle. The battery assembly includes a plurality of battery cells interconnected to provide a combined electrical potential between positive and negative terminals of the battery assembly, and a printed circuit board assembly (PCBA) disposed adjacent to a first array of battery cells of the plurality of battery cells. The PCBA includes a collector plate electrically coupled with the first array of battery cells, a temperature sensor configured to obtain temperature readings, a plurality of heaters configured to generate heat using electrical power, and an assembly processor. The assembly processor is configured to obtain readings from the temperature sensor, determine an estimated battery cell temperature, and initiate a heating program by delivering electrical power to the plurality of heaters from an electrical power source when the estimated battery cell temperature is below a threshold.",ECONTROLS LLC,GUGLIELMO KENNON H;;SOUDER JASON S;;LUDWIG BRENT C;;MARTIN MATTHEW J;;SANDERS JUSTIN H,https://lens.org/142-475-646-688-181
98,174-214-342-250-215,EP,2024-06-05,2024,"A DUAL VOLTAGE ELECTRICAL ARCHITECTURE FOR A VEHICLE, IN WHICH THE ONLY POWER SOURCE IS A LITHIUM-ION BATTERY","A dual voltage electrical architecture for a vehicle, comprising a low-voltage network, a high-voltage network and a DC/DC converter for transferring power from the high-voltage network to the low-voltage network, the electrical architecture further comprising a lithium-ion battery, a first and second contactors connected respectively to a positive and a negative terminals of the lithium-ion battery, a pre-charge circuit consisting of a pre-charge contactor and a pre-charge resistor connected in series, wherein the pre-charge contactor and the pre-charge resistor are connected in parallel with the first contactor, a battery management unit for controlling the opening and closing of the contactors and a vehicle start device. The DC/DC converter comprises a first input terminal connected to the first contactor and to the pre-charge contactor and a second input terminal connected to the second contactor. The only power source of the architecture is the lithium-ion battery delivering power to the high-voltage network.",VOLVO CONSTR EQUIP AB,BRUYERE LILIAN;;NEDJIMI AHCENE;;MOREL XAVIER,https://lens.org/174-214-342-250-215
99,187-520-257-187-650,US,2020-07-02,2020,RAILWAY POWER SYSTEM AND ASSOCIATED METHOD,"The present invention relates to a method for converting a diesel-electric, or diesel hydraulic rail vehicle to an all-electric rail vehicle capable of moving on partially electrified railway tracks, comprising providing the vehicle a storage and autonomous supply electric power system comprising an electric traction unit, if not present in the vehicle prior to the conversion, or if the existing electric traction unit is to be replaced; an accumulator unit comprising one or more electricity accumulators, and a super capacitor unit comprising one or more super-capacitive assemblies; a power supply device for supplying external power when available to the traction and the storage and supply system, and a control and distribution system for distributing electric power between the traction system, the power supply device and the electric power storage and autonomous supply system according to the traction operation and availability of external power.",FMS ADVISERS B V,SCHUHHOLZ FRANK MATTHIAS;;MAIER WILLIBALD,https://lens.org/187-520-257-187-650
100,193-227-722-755-305,US,2024-05-30,2024,"DUAL VOLTAGE ELECTRICAL ARCHITECTURE FOR A VEHICLE, IN WHICH THE ONLY POWER SOURCE IS A LITHIUM-ION BATTERY","A dual voltage electrical architecture for a vehicle, including a low-voltage network, a high-voltage network and a DC/DC converter for transferring power from the high-voltage network to the low-voltage network, the electrical architecture further including a lithium-ion battery, a first and second contactors connected respectively to a positive and a negative terminals of the lithium-ion battery, a pre-charge circuit consisting of a pre-charge contactor and a pre-charge resistor connected in series, wherein the pre-charge contactor and the pre-charge resistor are connected in parallel with the first contactor, a battery management unit for controlling the opening and closing of the contactors and a vehicle start device. The DC/DC converter includes a first input terminal connected to the first contactor and to the pre-charge contactor and a second input terminal connected to the second contactor. The only power source of the architecture is the lithium-ion battery delivering power to the high-voltage network.",VOLVO CONSTR EQUIP AB,BRUYERE LILIAN;;NEDJIMI AHCENE;;MOREL XAVIER,https://lens.org/193-227-722-755-305
101,002-103-434-628-511,CN,2020-09-25,2020,"SOLID ELECTROLYTE MATERIAL FOR SOLID STATE BATTERIES, SOLID ELECTROLYTE AND SOLID STATE BATTERY","A solid electrolyte material for a solid state battery (10) having the following chemical formula XM2(PS4)3, where P is phosphorus, S is sulfur and X is lithium (Li), sodium (Na), silver (Ag) or magnesium (Mg0,5) and M is titanium (Ti), zirconium (Zr), germanium (Ge), silicon (Si), tin (Sn) or a mixture of X and aluminium (X + Al) and exhibiting peaks in positions of 2theta = 13,64DEG (+/-1 DEG),16,48 DEG (+/-1 DEG) and 22,18 DEG (+/-1 DEG) in a X-ray diffraction measurement using CuKalpha line, where IA is the intensity in arbitrary units of the peak at 13,64DEG(+/-1 DEG) and IB is the intensity in arbitrary units of a peak at 23,34 DEG (+/-1 DEG), (IA - IB)/(IA + IB) > 0. The disclosure is also related to a solid electrolyte comprising the solid electrolyte material and a solid state battery comprising the solid electrolyte.",TOYOTA MOTOR EUROPE,KATOH YUKI;;HAUTIER GEOFFROY;;DI STEFANO DAVIDE;;FILINCHUK YAROSLAV,https://lens.org/002-103-434-628-511
102,004-351-905-964-198,US,2024-12-19,2024,"SOLID-STATE ELECTROLYTE FOR SOLID-STATE BATTERY, SOLID-STATE BATTERY, AND BATTERY PACKAGE","A solid-state electrolyte for a solid-state battery, the solid-state electrolyte including: a lithium salt solid-state electrolyte part; and a non-lithium compound part embedded in the lithium salt solid-state electrolyte part. Preferably, the lithium salt solid-state electrolyte part has an antiperovskite structure, and the non-lithium compound part includes an inorganic insulating material.",MURATA MANUFACTURING CO,ITO DAISUKE,https://lens.org/004-351-905-964-198
103,006-644-741-514-802,CN,2024-11-15,2024,"Solid electrolyte for solid-state battery, solid-state battery, and battery package","Provided is a solid electrolyte for a solid battery, which has excellent performance. The solid electrolyte for a solid-state battery has: a first solid electrolyte having a perovskite-type structure having a lattice constant of # imgabs 0 # or more and # imgabs 1 # or less; and a second solid electrolyte having an inverse perovskite structure having a lattice constant of # imgabs2 # or more and # imgabs3 # or less, the lattice constant being an integer multiple of the lattice constant of # imgabs2 # or more and # imgabs3 # or less.",MURATA MANUFACTURING CO,ITO DAISUKE,https://lens.org/006-644-741-514-802
104,007-471-404-850-884,JP,2018-09-27,2018,SOLID ELECTROLYTE AND SOLID-STATE BATTERY,"PROBLEM TO BE SOLVED: To provide a novel solid battery equipped with a plurality of structures each having an electrode and a solid electrolyte.SOLUTION: A solid battery 101 is provided with a plate-shaped first body 111. On one face 111a of the first body 111, the solid battery 101 has first lamination structures 1 each having: a first solid electrolyte 11 provided with an outer peripheral projection 112 along the outer periphery of the first body 111; and a first electrode 12 which is arranged in a region, on the face 111a of the first solid electrolyte 11, surrounded by the outer peripheral projection 112. By bringing the plurality of first lamination structures 1 into close contact with each other, they are laminated in such a manner that the first solid electrolyte 11 and the first electrode 12 are repeatedly arranged in this order in the thickness direction of the first lamination structures 1. A positive electrode and a negative electrode are alternately laminated as the first electrode 12.SELECTED DRAWING: Figure 2",TOKYO ELECTRIC POWER CO HOLDINGS INC;;UNIV TOKYO METROPOLITAN,DOHATA HIDEO;;KANEMURA KIYOSHI,https://lens.org/007-471-404-850-884
105,021-845-607-519-578,CN,2018-08-28,2018,Solid state electrolyte battery,"The utility model relates to a solid state electrolyte battery, including the positive plate, negative plate and encapsulation shell, range upon range ofly between positive plate and the negative plate be equipped with a plurality of bipolar plate, the positive plate, negative plate and bipolar plate average level are placed, the positive plate, all scribble on negative plate and the bipolar plateand be covered with the solid electrolyte layer, solid electrolyte layer skin is equipped with the fixed network, be equipped with glass fibre membrane between solid electrolyte layer and the fixed network, encapsulation shell upper portion is equipped with swing joint's lid, encapsulation shell bottom is equipped with two relative battery cardboards, be equipped with the battery jar between twobattery cardboards, sliding connection has a plurality of tight poles that support in the battery jar, the bottom sliding connection who supports tight pole is in the battery jar bottom, support fixedly connected with supporting spring between tight pole bottom and the battery jar lateral wall, the upper end of supporting tight pole is equipped with the crooked tight ring that supports, the positive plate, the negative plate, bipolar plate all is located the battery jar. This application has been solved the solid electrolyte layer and has been drop from battery cell body easily, influences theproblem of the electrically conductive effect of battery.",GUANGZHOU ZHUOYUE POWER NEW ENERGY CO LTD,HE XINGHUA;;LI ZHENGWEN;;LI SHAOWEI;;HE KELI;;MA JUN,https://lens.org/021-845-607-519-578
106,032-887-420-448-786,US,2024-12-12,2024,"SOLID-STATE ELECTROLYTE FOR SOLID-STATE BATTERY, SOLID-STATE BATTERY, AND BATTERY PACKAGE",A solid-state electrolyte that includes: a first solid-state electrolyte part and a second solid-state electrolyte part. The first solid-state electrolyte part has a perovskite structure having a lattice constant that is an integer multiple of a value of greater than or equal to 3.8 Å and less than or equal to 4.1 Å. The second solid-state electrolyte part has an antiperovskite structure having a lattice constant that is an integer multiple of a value of greater than or equal to 3.8 Å and less than or equal to 4.1 Å.,MURATA MANUFACTURING CO,ITO DAISUKE,https://lens.org/032-887-420-448-786
107,062-567-413-586-115,JP,2024-10-11,2024,"SOLID ELECTROLYTE, ELECTRODE FOR SOLID-STATE BATTERIES AND SOLID-STATE BATTERY","To provide a solid electrolyte that achieves improvement in initial charging/discharging efficiency, an electrode for solid-state batteries including the solid electrolyte, and a solid-state battery including the electrode for solid-state batteries.SOLUTION: The solid-state battery is represented by the formula (1): Li1-jMjOmFqCl1+2j-(2m+q). In the formula (1), M denotes one or both of Al and Ga, and the following relationships hold: 0<j<1, 0<2 m<1+2j, 0<q<1+2j, 0<2 m+q<1+2j.SELECTED DRAWING: Figure 1",TDK CORP,SUZUKI TAKERU;;KAKUTA HIROFUMI;;ISOMICHI GAKUHO,https://lens.org/062-567-413-586-115
108,063-945-726-356-507,US,2019-11-28,2019,ELECTROLYTE FOR A SOLID-STATE BATTERY,"Electrolyte for a solid-state battery includes a body having grains of inorganic material sintered to one another, where the grains include lithium. The body is thin, has little porosity by volume, and has high ionic conductivity.",CORNING INC,BADDING MICHAEL EDWARD;;FEKETY CURTIS ROBERT;;HARNAS TRICIA ANNE;;LU YANXIA ANN;;SHI YING;;SONG ZHEN,https://lens.org/063-945-726-356-507
